,Territorio,TIME,value_molto,numero_ospedali,popolazione,investimento,posti_letto,personale_sanitario
0,Abruzzo,2014,15.3,29.0,1329918,2187020,4015,8074.0
1,Abruzzo,2015,50.4,29.0,1325836,2460029,3962,8294.0
2,Abruzzo,2016,28.6,29.0,1319294,2676939,4076,8431.0
3,Abruzzo,2017,45.4,27.0,1313930,2288537,3913,8534.0
4,Abruzzo,2018,35.3,27.0,1306059,2457793,3983,8349.0
5,Abruzzo,2019,39.8,27.0,1300645,2225392,3925,8792.0
6,Basilicata,2014,33.3,12.0,575814,93425,1765,3343.0
7,Basilicata,2015,35.5,14.0,573236,957476,1761,3461.0
8,Basilicata,2016,17.2,15.0,569887,999405,1695,3960.0
9,Basilicata,2017,22.5,10.0,566405,962287,1684,4048.0
10,Basilicata,2018,17.0,10.0,562968,949669,1613,3623.0
11,Basilicata,2019,30.6,10.0,558587,931155,1618,4296.0
12,Calabria,2014,21.3,52.0,1958226,3111570,4907,9232.0
13,Calabria,2015,22.0,52.0,1951733,3298392,4868,9445.0
14,Calabria,2016,20.9,50.0,1943085,3033350,4793,9733.0
15,Calabria,2017,14.4,48.0,1935097,3014856,4888,10080.0
16,Calabria,2018,22.8,49.0,1924257,2969092,4965,9294.0
17,Calabria,2019,29.0,52.0,1912021,3193651,4856,10343.0
18,Campania,2014,13.9,110.0,5812768,10306088,15783,22301.0
19,Campania,2015,19.2,109.0,5804370,9162410,15505,23967.0
20,Campania,2016,29.3,110.0,5790783,9484336,15566,25844.0
21,Campania,2017,19.1,110.0,5776654,9279873,15372,28998.0
22,Campania,2018,13.4,109.0,5762889,9209319,15280,26300.0
23,Campania,2019,21.1,108.0,5740291,8955481,14582,31183.0
24,Emilia-Romagna,2014,47.3,72.0,4432241,9537042,17227,27082.0
25,Emilia-Romagna,2015,59.9,69.0,4434377,9261462,16754,27624.0
26,Emilia-Romagna,2016,51.4,68.0,4435480,9489914,16579,27247.0
27,Emilia-Romagna,2017,51.5,68.0,4439768,9256760,16453,27403.0
28,Emilia-Romagna,2018,50.4,67.0,4445920,9517326,16404,28320.0
29,Emilia-Romagna,2019,52.6,67.0,4459453,8784720,16327,28093.0
30,Friuli-Venezia Giulia,2014,52.0,18.0,1224984,2486072,4252,7905.0
31,Friuli-Venezia Giulia,2015,49.0,19.0,1221664,2134932,4120,7992.0
32,Friuli-Venezia Giulia,2016,37.6,19.0,1216208,2474586,3982,7923.0
33,Friuli-Venezia Giulia,2017,56.7,15.0,1212809,2587494,3833,8141.0
34,Friuli-Venezia Giulia,2018,55.6,15.0,1211155,2843113,3809,8359.0
35,Friuli-Venezia Giulia,2019,40.8,15.0,1210414,2236716,3815,8218.0
36,Lazio,2014,46.2,120.0,5723955,14340959,19211,28890.0
37,Lazio,2015,27.3,121.0,5744899,10897744,18773,30207.0
38,Lazio,2016,37.6,118.0,5761508,11340193,18676,31005.0
39,Lazio,2017,32.9,117.0,5774092,11085658,18431,33096.0
40,Lazio,2018,40.9,114.0,5774606,11594145,18345,32771.0
41,Lazio,2019,38.5,114.0,5773076,10135603,18356,37195.0
42,Liguria,2014,50.8,16.0,1580322,3264961,5111,10393.0
43,Liguria,2015,39.6,16.0,1569427,2882344,5030,10552.0
44,Liguria,2016,46.9,17.0,1557742,2876990,5042,10821.0
45,Liguria,2017,44.2,16.0,1551379,2828186,4994,11925.0
46,Liguria,2018,54.2,18.0,1541541,3397242,5018,10810.0
47,Liguria,2019,42.6,19.0,1532980,2989652,5012,12328.0
48,Lombardia,2014,52.4,193.0,9929769,23888228,35485,50878.0
49,Lombardia,2015,54.2,188.0,9954769,24379175,35351,51805.0
50,Lombardia,2016,48.7,186.0,9958447,24319730,35420,50835.0
51,Lombardia,2017,47.9,182.0,9970419,23714340,34938,52455.0
52,Lombardia,2018,45.8,179.0,9986962,25418256,34831,52973.0
53,Lombardia,2019,44.1,178.0,10010833,21283214,34812,54069.0
54,Marche,2014,38.6,21.0,1549478,2863403,5111,8479.0
55,Marche,2015,46.1,21.0,1545869,2883123,5053,8839.0
56,Marche,2016,40.5,22.0,1538442,2775166,4885,9025.0
57,Marche,2017,45.0,16.0,1532460,2822834,4615,9259.0
58,Marche,2018,42.6,16.0,1526331,2912844,4637,9421.0
59,Marche,2019,48.4,16.0,1520321,2663284,4634,9671.0
60,Molise,2014,22.4,8.0,312897,518726,1116,2038.0
61,Molise,2015,18.2,8.0,311398,653079,1110,2102.0
