"ITTER107","Territorio","TIPO_DATO14","Tipo dato","ISTITUTO_SAN","Tipo di istituto","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",505,,
"IT","Italia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",500,,
"IT","Italia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",492,,
"IT","Italia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",479,,
"IT","Italia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",477,,
"IT","Italia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",472,,
"IT","Italia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",16015917,,
"IT","Italia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",16031609,,
"IT","Italia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",15731093,,
"IT","Italia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",15530335,,
"IT","Italia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",15335287,,
"IT","Italia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",15247579,,
"IT","Italia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",1516133,,
"IT","Italia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",1430865,,
"IT","Italia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",1371934,,
"IT","Italia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",1257501,,
"IT","Italia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",1142232,,
"IT","Italia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",1124786,,
"IT","Italia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",617191,,
"IT","Italia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",576243,,
"IT","Italia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",558151,,
"IT","Italia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",531687,,
"IT","Italia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",507715,,
"IT","Italia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",501187,,
"IT","Italia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",10.18,,
"IT","Italia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",9.49,,
"IT","Italia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",9.21,,
"IT","Italia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",8.78,,
"IT","Italia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",8.4,,
"IT","Italia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",8.39,,
"ITCD","Nord","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",189,,
"ITCD","Nord","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",188,,
"ITCD","Nord","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",190,,
"ITCD","Nord","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",187,,
"ITCD","Nord","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",187,,
"ITCD","Nord","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",185,,
"ITCD","Nord","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",7804204,,
"ITCD","Nord","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",7858575,,
"ITCD","Nord","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",7773908,,
"ITCD","Nord","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",7719758,,
"ITCD","Nord","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",7692052,,
"ITCD","Nord","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",7672342,,
"ITCD","Nord","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",434592,,
"ITCD","Nord","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",442092,,
"ITCD","Nord","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",421244,,
"ITCD","Nord","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",350174,,
"ITCD","Nord","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",326948,,
"ITCD","Nord","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",344765,,
"ITCD","Nord","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",194233,,
"ITCD","Nord","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",195055,,
"ITCD","Nord","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",197902,,
"ITCD","Nord","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",186056,,
"ITCD","Nord","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",191371,,
"ITCD","Nord","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",210545,,
"ITCD","Nord","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",7,,
"ITCD","Nord","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",7.02,,
"ITCD","Nord","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",7.13,,
"ITCD","Nord","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",6.71,,
"ITCD","Nord","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",6.9,,
"ITCD","Nord","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",7.62,,
"ITC","Nord-ovest","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",114,,
"ITC","Nord-ovest","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",113,,
"ITC","Nord-ovest","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",114,,
"ITC","Nord-ovest","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",110,,
"ITC","Nord-ovest","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",110,,
"ITC","Nord-ovest","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",111,,
"ITC","Nord-ovest","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",5392786,,
"ITC","Nord-ovest","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",5423754,,
"ITC","Nord-ovest","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",5355967,,
"ITC","Nord-ovest","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",5339552,,
"ITC","Nord-ovest","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",5338498,,
"ITC","Nord-ovest","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",5311276,,
"ITC","Nord-ovest","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",193508,,
"ITC","Nord-ovest","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",199234,,
"ITC","Nord-ovest","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",203759,,
"ITC","Nord-ovest","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",190110,,
"ITC","Nord-ovest","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",186965,,
"ITC","Nord-ovest","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",204312,,
"ITC","Nord-ovest","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",117657,,
"ITC","Nord-ovest","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",120439,,
"ITC","Nord-ovest","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",125468,,
"ITC","Nord-ovest","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",118574,,
"ITC","Nord-ovest","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",121093,,
"ITC","Nord-ovest","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",136051,,
"ITC","Nord-ovest","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",7.3,,
"ITC","Nord-ovest","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",7.47,,
"ITC","Nord-ovest","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",7.79,,
"ITC","Nord-ovest","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",7.37,,
"ITC","Nord-ovest","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",7.52,,
"ITC","Nord-ovest","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",8.51,,
"ITC1","Piemonte","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",39,,
"ITC1","Piemonte","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",39,,
"ITC1","Piemonte","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",39,,
"ITC1","Piemonte","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",38,,
"ITC1","Piemonte","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",37,,
"ITC1","Piemonte","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",38,,
"ITC1","Piemonte","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",1393748,,
"ITC1","Piemonte","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",1362232,,
"ITC1","Piemonte","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",1294945,,
"ITC1","Piemonte","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",1264348,,
"ITC1","Piemonte","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",1292212,,
"ITC1","Piemonte","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",1305015,,
"ITC1","Piemonte","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",44693,,
"ITC1","Piemonte","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",43456,,
"ITC1","Piemonte","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",38676,,
"ITC1","Piemonte","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",36152,,
"ITC1","Piemonte","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",33640,,
"ITC1","Piemonte","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",33587,,
"ITC1","Piemonte","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",20074,,
"ITC1","Piemonte","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",19966,,
"ITC1","Piemonte","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",17418,,
"ITC1","Piemonte","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",13135,,
"ITC1","Piemonte","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",12694,,
"ITC1","Piemonte","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",12946,,
"ITC1","Piemonte","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",4.56,,
"ITC1","Piemonte","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",4.52,,
"ITC1","Piemonte","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",3.96,,
"ITC1","Piemonte","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",3,,
"ITC1","Piemonte","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",2.91,,
"ITC1","Piemonte","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",1,,
