"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","0_NURS_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",1457,,
"IT","Italia","0_NURS_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",1551,,
"IT","Italia","0_NURS_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",1566,,
"IT","Italia","0_NURS_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",1591,,
"IT","Italia","0_NURS_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",1572,,
"IT","Italia","0_NURS_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",1536,,
"IT","Italia","0_NURS_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",40,,
"IT","Italia","0_NURS_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",40.2,,
"IT","Italia","0_NURS_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",39.6,,
"IT","Italia","0_NURS_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",39.5,,
"IT","Italia","0_NURS_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",39.3,,
"IT","Italia","0_NURS_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",41,,
"IT","Italia","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",412,,
"IT","Italia","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",407,,
"IT","Italia","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",400,,
"IT","Italia","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",357,,
"IT","Italia","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",360,,
"IT","Italia","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",408,,
"IT","Italia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",576,,
"IT","Italia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",591,,
"IT","Italia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",544,,
"IT","Italia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",545,,
"IT","Italia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",563,,
"IT","Italia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",540,,
"IT","Italia","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",86.1,,
"IT","Italia","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",89.1,,
"IT","Italia","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",89.6,,
"IT","Italia","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",86.9,,
"IT","Italia","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",89,,
"IT","Italia","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",87.1,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",66.6,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",70.3,,
